Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud
2022S003614    ,9,Sant Andreu,57,la Trinitat Vella,34400,Trinitat                                          ,0080I0080I,Diumenge,2022,6,Juny,12,17,Tarda,No és causa del  vianant,0,0,0,0,2,432929.91 ,4589159.71,2.19590946501949,41.4493729365796
2022S007593    ,9,Sant Andreu,57,la Trinitat Vella,701501,B-20 (Llobregat)                                  ,1610000,Dilluns,2022,12,Desembre,12,22,Nit,No és causa del  vianant,0,2,0,2,2,432618.72 ,4588884.43,2.19221498323712,41.4468674992340
2022S005925    ,9,Sant Andreu,59,el Bon Pastor,80101,Ciutat d'Asunción                                 ,0063 0063,Dilluns,2022,10,Octubre,3,10,Matí,No és causa del  vianant,0,1,0,1,2,433268.83 ,4588340.34,2.20005725332238,41.4420214167200
2022S001196    ,9,Sant Andreu,59,el Bon Pastor,264308,Potosí / Caracas                                  ,0018 0018,Diumenge,2022,2,Febrer,27,22,Nit,No és causa del  vianant,0,1,0,1,2,433499.34 ,4588462.36,2.20280291422858,41.4431395556195
2022S006864    ,9,Sant Andreu,57,la Trinitat Vella,701501,Litoral (Llobregat)                               ,1650000,Dijous,2022,11,Novembre,10,8,Matí,No és causa del  vianant,0,1,0,1,2,433363.25 ,4582786.07,2.20179986378437,41.3920035260374
2022S005135    ,9,Sant Andreu,57,la Trinitat Vella,701501,B-20 (Llobregat)                                  ,1650000,Dissabte,2022,8,Agost,27,11,Matí,No és causa del  vianant,0,1,0,1,5,432838.99 ,4589349.79,2.19479991137451,41.4510773113224
2022S003922    ,9,Sant Andreu,57,la Trinitat Vella,701502,B-20 (Besòs)                                      ,1630000,Dimarts,2022,6,Juny,28,13,Matí,No és causa del  vianant,0,1,0,1,2,433012.66 ,4588988.97,2.19691901323374,41.4478420565114
2022S005896    ,9,Sant Andreu,59,el Bon Pastor,151957,B-10 (Besòs)                                      ,0001 0005,Dissabte,2022,10,Octubre,1,13,Matí,No és causa del  vianant,0,1,0,1,2,433753.25 ,4588556.56,2.20583182175104,41.4440089967409
2022S001870    ,9,Sant Andreu,59,el Bon Pastor,151957,Guayaquil / Cusco                                 ,0011 0011,Dijous,2022,3,Març,31,14,Tarda,No és causa del  vianant,0,1,0,1,2,433878.87 ,4588247.44,2.20736935218767,41.4412352145446
2022S007465    ,9,Sant Andreu,58,Baró de Viver,314100,Santa Coloma                                      ,0114 0114,Dilluns,2022,12,Desembre,5,0,Nit,No és causa del  vianant,0,0,0,0,0,433320.41 ,4589051.71,2.20059604174740,41.4484327819202
2022S007963    ,9,Sant Andreu,59,el Bon Pastor,63850,Caracas                                           ,0024 0024,Dijous,2022,12,Desembre,29,12,Matí,No és causa del  vianant,0,1,0,1,2,433493.5  ,4588413.62,2.20273838159078,41.4427000858482
2022S003764    ,9,Sant Andreu,59,el Bon Pastor,63850,Caracas                                           ,0041 0041,Diumenge,2022,6,Juny,19,6,Matí,No és causa del  vianant,0,1,0,1,3,433432.97 ,4588740.12,2.20197784265571,41.4456357443947
2022S007118    ,9,Sant Andreu,59,el Bon Pastor,701265,Monterrey                                         ,120000,Dissabte,2022,11,Novembre,19,23,Nit,No és causa del  vianant,0,2,0,2,2,433767.29 ,4588494.32,2.20600671033968,41.4434495801620
2022S005002    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,119003,Fabra i Puig / Meridiana                          ,0095 0095,Divendres,2022,8,Agost,19,20,Tarda,No és causa del  vianant,0,1,0,1,2,431870.03 ,4587039.84,2.18346102887446,41.4301906829216
2022S004278    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,209900,Meridiana / Escòcia                               ,0365B0365B,Dimecres,2022,7,Juliol,13,20,Tarda,No és causa del  vianant,0,1,0,1,2,431926.84 ,4586869.18,2.18416012877637,41.4286584275917
2022S003033    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,121402,Felip II / Costa i Cuxart                         ,0236 0236,Divendres,2022,5,Maig,20,10,Matí,No és causa del  vianant,0,1,0,1,2,431293.29 ,4586833.85,2.17658242602282,41.4282862321987
2022S007644    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,111704,Escòcia                                           ,0074 0074,Dimecres,2022,12,Desembre,14,18,Tarda,No és causa del  vianant,0,2,0,2,2,431557.79 ,4586885.46,2.17974184334465,41.4287736664438
2022S005100    ,8,Nou Barris,46,el Turó de la Peira,295403,Sant Iscle                                        ,0074 0074,Dijous,2022,8,Agost,25,22,Nit,Creuar per fora pas de vianants,0,1,0,1,1,430780.68 ,4587498.77,2.17037183293175,41.4342308682849
2022S000085    ,8,Nou Barris,45,Porta,256401,Pintor Alsamora / Escultor Ordóñez                ,0065 0065,Divendres,2022,1,Gener,7,9,Matí,No és causa del  vianant,0,1,0,1,1,431296.11 ,4587695.06,2.17651819341565,41.4360430804155
2022S004058    ,8,Nou Barris,46,el Turó de la Peira,228009,Doctor Pi i Molist                                ,0002 0002,Dilluns,2022,7,Juliol,4,9,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,430923.2  ,4587579.42,2.17206829264713,41.4349695348779
2022S000045    ,8,Nou Barris,45,Porta,209900,Meridiana                                         ,0441 0473,Dimarts,2022,1,Gener,4,20,Tarda,No és causa del  vianant,0,1,0,1,2,431958.92 ,4587888.62,2.18442916246340,41.4378428917217
2022S007436    ,8,Nou Barris,45,Porta,355709,Rio de Janeiro                                    ,0077 0079,Dissabte,2022,12,Desembre,3,10,Matí,No és causa del  vianant,0,1,0,1,1,431712.18 ,4587158.71,2.18155854375500,41.4312478865903
2022S006060    ,8,Nou Barris,45,Porta,282650,Rio de Janeiro                                    ,0059X0059X,Dissabte,2022,10,Octubre,8,1,Nit,No és causa del  vianant,0,0,0,0,1,431594.23 ,4587624.65,2.18009419090950,41.4354343962336
2022S005376    ,8,Nou Barris,45,Porta,289852,Rosselló i Porcel                                 ,0012 0012,Dijous,2022,9,Setembre,8,13,Matí,No és causa del  vianant,0,1,0,1,2,431659.89 ,4587799.16,2.18086027626404,41.4370117406695
2022S001632    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,45701,Costa i Cuxart / Quinze                           ,0054 0054,Dilluns,2022,3,Març,21,16,Tarda,No és causa del  vianant,0,1,0,1,2,431153.98 ,4586798.31,2.17491935873499,41.4279541974229
2022S004951    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,119003,Arnau d'Oms / Fabra i Puig                        ,0181 0181,Dimecres,2022,8,Agost,17,16,Tarda,No és causa del  vianant,0,2,0,2,2,431360.13 ,4587054.3 ,2.17735724495492,41.4302774665267
2022S001274    ,8,Nou Barris,45,Porta,351901,Valldaura / Rio de Janeiro                        ,0276X0276X,Dijous,2022,3,Març,3,6,Matí,No és causa del  vianant,0,1,0,1,2,431735.72 ,4588048.32,2.18173968019297,41.4392622909835
2022S007075    ,8,Nou Barris,45,Porta,256401,Meridiana / Pintor Alsamora                       ,0001 0001,Divendres,2022,11,Novembre,18,18,Tarda,No és causa del  vianant,0,1,0,1,2,431890.58 ,4587477.65,2.18365757887525,41.4341356306032
2022S003376    ,-1,Desconegut,-1,Desconegut,-1,Trinitat                                          ,Desconegut,Divendres,2022,6,Juny,3,0,Nit,No és causa del  vianant,0,0,0,0,1,432929.91 ,4589159.71,2.19590946501949,41.4493729365796
2022S007524    ,-1,Desconegut,-1,Desconegut,-1,Arístides Maillol / Cardenal Reig                 ,Desconegut,Dijous,2022,12,Desembre,8,19,Tarda,No és causa del  vianant,0,0,0,0,1,426465.56 ,4581445.06,2.11946493807506,41.3793240161454
2022S001200    ,-1,Desconegut,-1,Desconegut,-1,Castillejos / Corts Catalanes                     ,Desconegut,Dilluns,2022,2,Febrer,28,9,Matí,No és causa del  vianant,0,1,0,1,2,431937.47 ,4583875.38,2.18462447624276,41.4016951231665
2022S003605    ,-1,Desconegut,-1,Desconegut,-1,Escorial / Mare de Déu de la Salut                ,Desconegut,Dilluns,2022,6,Juny,13,13,Matí,No és causa del  vianant,0,2,0,2,2,429660.12 ,4584991.37,2.15725286942196,41.4115502482794
2022S000543    ,-1,Desconegut,-1,Desconegut,-1,C-17 (Puigcerdà)                                  ,Desconegut,Dissabte,2022,1,Gener,29,5,Nit,No és causa del  vianant,0,1,0,1,1,431944.68 ,4590387.1 ,2.18397691666288,41.4603445652060
2022S004373    ,-1,Desconegut,-1,Desconegut,-1,Metal·lúrgia / Motors                             ,Desconegut,Dilluns,2022,7,Juliol,18,3,Nit,No és causa del  vianant,0,1,0,1,1,427929.74 ,4578048.35,2.13737735852287,41.3488636169932
2022S004196    ,-1,Desconegut,-1,Desconegut,-1,Maladeta / Escultor Ordóñez                       ,Desconegut,Dissabte,2022,7,Juliol,9,11,Matí,No és causa del  vianant,0,1,0,1,2,431145.9  ,4587390.97,2.17475509747466,41.4332913774185
